mp_id,full_name,club,mandate_status,district_number,category,count,url
206,Piotr Lachowicz,KO,aktywny,14,"Interpelacje, którym nadano bieg:",8,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=206&Typ=INT&Czyb=T
206,Piotr Lachowicz,KO,aktywny,14,"Zapytania, którym nadano bieg:",1,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=206&Typ=ZAP&Czyb=T
206,Piotr Lachowicz,KO,aktywny,14,Pytania w sprawach bieżących:,13,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=206&Typ=PYT&Czyb=T
206,Piotr Lachowicz,KO,aktywny,14,Oświadczenia:,2,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=206&view=8
207,Stanisław Lamczyk,KO,aktywny,26,"Interpelacje, którym nadano bieg:",27,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=207&Typ=INT&Czyb=T
207,Stanisław Lamczyk,KO,aktywny,26,"Zapytania, którym nadano bieg:",5,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=207&Typ=ZAP&Czyb=T
207,Stanisław Lamczyk,KO,aktywny,26,"Zapytania, którym nie nadano biegu:",1,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=207&Typ=ZAP&Czyb=N
207,Stanisław Lamczyk,KO,aktywny,26,Pytania w sprawach bieżących:,18,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=207&Typ=PYT&Czyb=T
207,Stanisław Lamczyk,KO,aktywny,26,Oświadczenia:,5,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=207&view=8
209,Gabriela Lenartowicz,KO,aktywny,30,"Interpelacje, którym nadano bieg:",35,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=209&Typ=INT&Czyb=T
209,Gabriela Lenartowicz,KO,aktywny,30,"Zapytania, którym nadano bieg:",6,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=209&Typ=ZAP&Czyb=T
209,Gabriela Lenartowicz,KO,aktywny,30,Pytania w sprawach bieżących:,4,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=209&Typ=PYT&Czyb=T
209,Gabriela Lenartowicz,KO,aktywny,30,Oświadczenia:,1,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=209&view=8
210,Ewa Leniart,PiS,aktywny,23,"Interpelacje, którym nadano bieg:",38,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=210&Typ=INT&Czyb=T
210,Ewa Leniart,PiS,aktywny,23,"Zapytania, którym nadano bieg:",2,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=210&Typ=ZAP&Czyb=T
