mp_id,full_name,club,mandate_status,district_number,label,count,url
052,Michał Cieślak,PiS,aktywny,33,Wypowiedzi,9,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=052&type=P&symbol=WYPOWIEDZI_POSLA
053,Żaneta Cwalina-Śliwowska,Polska2050-TD,aktywny,18,Wypowiedzi,51,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=053&type=P&symbol=WYPOWIEDZI_POSLA
054,Krzysztof Czarnecki,PiS,aktywny,38,Wypowiedzi,15,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=054&type=P&symbol=WYPOWIEDZI_POSLA
055,Witold Wojciech Czarnecki,PiS,aktywny,37,Wypowiedzi,5,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=055&type=P&symbol=WYPOWIEDZI_POSLA
056,Przemysław Czarnek,PiS,aktywny,6,Wypowiedzi łącznie,2,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=056&type=P&symbol=WYPOWIEDZI_POSLA
057,Arkadiusz Czartoryski,PiS,aktywny,18,Wypowiedzi,13,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=057&type=P&symbol=WYPOWIEDZI_POSLA
058,Włodzimierz Czarzasty,Lewica,aktywny,32,Wypowiedzi,2,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=058&type=P&symbol=WYPOWIEDZI_POSLA
059,Jacek Czerniak,Lewica,aktywny,6,Wypowiedzi łącznie,27,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=059&type=P&symbol=WYPOWIEDZI_POSLA
060,Zofia Czernow,KO,aktywny,1,Wypowiedzi,185,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=060&type=P&symbol=WYPOWIEDZI_POSLA
061,Anita Czerwińska,PiS,aktywny,20,Wypowiedzi,11,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=061&type=P&symbol=WYPOWIEDZI_POSLA
