mp_id,full_name,club,mandate_status,district_number,present_votes,total_votes,participation,details_url
299,Jerzy Polaczek,PiS,aktywny,31,2524,2586,97.60%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=299
300,Elżbieta Anna Polak,KO,aktywny,8,2463,2586,95.24%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=300
301,Piotr Polak,PiS,aktywny,11,2556,2586,98.84%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=301
302,Agnieszka Pomaska,KO,aktywny,25,2464,2586,95.28%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=302
303,Marcin Porzucek,PiS,aktywny,38,2485,2586,96.09%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=303
304,Jacek Protas,KO,wygasl,34,442,446,99.10%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=304
305,Marcin Przydacz,PiS,wygasl,11,2195,2301,95.39%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=305
306,Grzegorz Puda,PiS,aktywny,27,2425,2586,93.77%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=306
307,Michał Pyrzyk,PSL-TD,aktywny,37,2527,2586,97.72%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=307
308,Renata Rak,KO,aktywny,40,2576,2586,99.61%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=308
309,Ireneusz Raś,PSL-TD,aktywny,13,2216,2586,85.69%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=309
310,Zbigniew Rau,PiS,aktywny,9,2273,2586,87.90%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=310
311,Marcin Romanowski,PiS,aktywny,7,665,2586,25.72%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=311
312,Bartosz Romowicz,Polska2050-TD,aktywny,22,2462,2586,95.20%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=312
313,Monika Rosa,KO,aktywny,31,2574,2586,99.54%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=313
314,Wiesław Różyński,PSL-TD,aktywny,7,2459,2586,95.09%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=314
315,Urszula Rusecka,PiS,aktywny,15,2416,2586,93.43%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=315
316,Grzegorz Rusiecki,KO,wygasl,36,283,290,97.59%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=316
317,Jakub Rutnicki,KO,aktywny,38,2444,2586,94.51%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=317
318,Paweł Rychlik,PiS,aktywny,11,2444,2586,94.51%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=318
319,Marek Rząsa,KO,aktywny,22,2582,2586,99.85%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=319
320,Jarosław Rzepa,PSL-TD,aktywny,41,2467,2586,95.40%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=320
321,Jarosław Sachajko,Republikanie,aktywny,7,2388,2586,92.34%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=321
322,Paweł Sałek,PiS,aktywny,10,2536,2586,98.07%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=322
323,Wojciech Saługa,KO,wygasl,32,349,371,94.07%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=323
324,Tadeusz Samborski,PSL-TD,aktywny,1,2486,2586,96.13%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=324
325,Jacek Sasin,PiS,aktywny,24,2415,2586,93.39%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=325
326,Marek Sawicki,PSL-TD,aktywny,18,2547,2586,98.49%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=326
327,Ewa Schädler,Polska2050-TD,aktywny,39,2467,2586,95.40%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=327
328,Joanna Scheuring-Wielgus,Lewica,wygasl,5,427,446,95.74%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=328
329,Anna Schmidt,PiS,aktywny,22,1967,2586,76.06%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=329
330,Łukasz Schreiber,PiS,aktywny,4,2514,2586,97.22%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=330
331,Jarosław Sellin,PiS,aktywny,25,2528,2586,97.76%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=331
332,Olga Ewa Semeniuk-Patkowska,PiS,aktywny,35,2499,2586,96.64%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=332
